,release,name,real_name
951,2012-09-28,Bir Avuç Ayıp,Bir Avuç Ayıp
952,2014-05-12,Bitmedi Kavgam,Bitmedi Kavgam
953,,,Bitmedi Kavgam (Ft. Atiberk)
954,,,Bugün Yolculuk Uzun (ft. Önder Şahin)
955,2016-04-15,Bulantı,Bulantı
956,2016-04-15,Bunu Yaz,Bunu Yaz
957,2017-05-19,Çare Ados,Çare Ados
958,2012-09-28,Çirkin Adam,Çirkin Adam
959,2016-04-15,Delirirken,Delirirken
960,2012-09-28,Dökül,Dökül
961,,,Dünyanın Omurgası
962,2016-04-15,Efkarın Delisi (feat. Atiberk),Efkarın Delisi
963,,,Ekimoz
964,2012-09-28,Ellerimin Laneti,Ellerimin Laneti
965,,,Eskiz
966,2012-09-28,Farkına Varılıyor,Farkına Varılıyor
968,,,Felç (Feat. Dilkeş Kardar)
969,,,Mushashi
970,2014-05-12,Naperva,Naperva
971,,,Numara 42
973,,,Öldüm Sahiden (ft. Ebru Yaşar)
974,2012-09-28,Öz Kızım,Öz Kızım
975,,,Pandemonium
976,,,Purple City
977,,,Sabahtan Geceye
978,,,Sahtekar
979,,,Sakura
980,,,Semazen Etekleri
981,,,Sepya
982,2014-05-12,Sırrım,Sırrım
983,2016-04-15,Siyaha Dal,Siyaha Dal
984,,,Aklanmaz
985,,,Antreman
986,,,Çirkin Adam
987,,,Dünyanın Omurgası
988,,,Ellerimin Laneti
989,,,Eskiz
990,,,Farkına Varılıyor
991,,,Gelecek Hangi Şıkta Saklı?
992,,,Gülümse
993,,,Hesap Kitap (Ft. Mirza)
994,,,Homonculus Hikayesi
995,,,Hüzzam
996,,,Intro
997,,,À La Goire De Dieu
998,2011-10-17,Baptême de sang,Baptême De Sang
1000,1998-01-01,Caligula,Caligula
1001,1998-01-01,De l'autre coté,De L'autre Côté
1002,1998-01-01,Déesse du crime,Déesse Du Crime
1003,2011-10-17,Delirium,Delirium
1004,2008-05-15,Dernière morsure,Dernière Morsure
1005,2008-05-15,Division blindée,Division Blindée
1007,2011-10-17,Immortel,Immortel
1009,1998-01-01,Jeux de chair,Jeux De Chair
1012,2011-10-17,L'adieu aux armes,L'adieu Aux Armes
1013,1998-01-01,L'esprit malade,L'esprit Malade
1014,1998-01-01,L'étranger,L'étranger
1015,2011-10-17,L'ombre du chasseur,L'ombre Du Chasseur
1016,1998-01-01,L'ombre du désespoir,L'ombre Du Désespoir
1017,1998-01-01,La dame noire,La Dame Noire
1018,2008-05-15,La parodie du fou,La Parodie Du Fou
1019,2010-01-01,La terreur,La Terreur
1020,,,Le Blazon De La Honte
1021,2011-10-17,Le carnaval des lâches,Le Carnaval Des Lâches
1022,1998-01-01,Tourmente et passion - Live,Tourmente Et Passion
1023,,,Vampire
1075,,,Abt
1076,,,Chorherr
1077,,,Communio
1078,,,Confutatis
1079,,,Der Erste Prediger
1081,,,Dies Irae
1083,,,Graduale
1084,,,I. Introitus
1085,,,Jurist
1086,,,K?
1087,1996-06-20,Af Çıkıyor,Af Çıkıyor
1088,1996-06-20,Allah Versin,Allah Versin
1089,,,Belki Sende Duyarsın (Ft. Anekdot)
1090,2004-05-12,Boş Yere,Boş Yere
1091,2004-05-12,Böyle Ayrılık Olmaz,Böyle Ayrılık Olmaz
1093,,,Çare mi
1094,2004-05-12,Durma Git,Durma Git
1095,2004-05-12,Elveda,Elveda
1099,,,İnsanlık Treni (Ft. Metafor)
1100,1996-06-20,Kızancıklar,Kızancıklar
1101,,,Kolay Değil (Ft. Sancak)
1121,,,Bu Kalp
1122,,,A Gız Senin Adın Dudu
1123,,,Afiyon'un Ortasında Kalesi
1124,,,Al Fadimem
1125,,,Al Kadifenin Topu
1126,,,Alim Efe Türküleri
1127,,,Allı Gelin Taş Başını Yol Eder
1128,,,Altınımı Ben Boynuma Dizerim
1129,,,Ardıç Arasında Biten Budaklar
1130,,,Arküstü'ne Abaları Serdiler
1131,,,Arküstü'ne Kurakoymuş Çıkrığı
1132,,,Arpalar Azık Oldu
1133,,,Arpalıkdan Arpa Biçer
1134,,,Aşamadım Bergama'nın Belinden
1135,,,Aşamadım Emirdağ'ı Başından
1136,,,Aşkın Deryasına Attım Ben Bir Taş
1137,,,Attan İndim Gül Dalına Bağladım
1138,,,Attım Tabancamı
1139,,,Attım Tabancamı Ateş Almadı
1140,,,Ayşe'nin Evleri
1141,,,Ayşe'nin Evleri Yayla Yolunda
